ID1 ID2 nb_sup2 sum_sup2 Sex1 State1 Region1 Sex2 State2 Region2
HG01089 HG01205 18 58.718 2 PUR AMR 2 PUR AMR
HG01092 HG01067 10 27.888 2 PUR AMR 2 PUR AMR
HG01094 HG00736 11 43.283 1 PUR AMR 1 PUR AMR
HG01095 HG01188 14 55.783 2 PUR AMR 2 PUR AMR
HG01097 HG01191 15 59.296 1 PUR AMR 2 PUR AMR
HG01098 HG01190 18 68.321 2 PUR AMR 1 PUR AMR
HG01101 HG01188 20 74.225 1 PUR AMR 2 PUR AMR
HG01102 HG01048 16 52.419 2 PUR AMR 1 PUR AMR
HG01104 HG01083 14 53.887 1 PUR AMR 2 PUR AMR
HG01105 HG01098 13 40.599 2 PUR AMR 2 PUR AMR
HG01107 HG01070 13 46.037 1 PUR AMR 2 PUR AMR
HG01108 HG00641 6 19.322 2 PUR AMR 2 PUR AMR
HG01110 HG01051 16 52.877 1 PUR AMR 1 PUR AMR
HG01111 HG01086 14 47.094 2 PUR AMR 2 PUR AMR
HG01112 HG01437 36 122.157 1 CLM AMR 1 CLM AMR
HG01113 HG01347 108 399.77 2 CLM AMR 1 CLM AMR
HG01119 HG01438 14 45.645 2 CLM AMR 2 CLM AMR
HG01121 HG01465 17 51.635 1 CLM AMR 2 CLM AMR
HG01122 HG00146 6 19.042 2 CLM AMR 2 GBR EUR
HG01124 HG01357 9 30.913 1 CLM AMR 2 CLM AMR
HG01125 HG01378 12 44.986 2 CLM AMR 2 CLM AMR
HG01130 HG01134 28 97.342 1 CLM AMR 2 CLM AMR
HG01131 HG01465 13 41.927 2 CLM AMR 2 CLM AMR
HG01133 HG01437 24 83.893 1 CLM AMR 1 CLM AMR
HG01134 HG01130 28 97.342 2 CLM AMR 1 CLM AMR
HG01136 HG01465 18 65.417 1 CLM AMR 2 CLM AMR
HG01137 HG01498 25 75.082 2 CLM AMR 2 CLM AMR
HG01139 HG01468 15 41.916 1 CLM AMR 2 CLM AMR
HG01140 HG01465 20 66.956 2 CLM AMR 2 CLM AMR
HG01142 HG01281 11 38.873 1 CLM AMR 2 CLM AMR
HG01148 HG01350 18 60.89 1 CLM AMR 1 CLM AMR
HG01149 HG01137 19 54.381 2 CLM AMR 2 CLM AMR
HG01161 HG01055 9 30.994 1 PUR AMR 2 PUR AMR
HG01162 HG01067 14 49.608 2 PUR AMR 2 PUR AMR
HG01164 HG01069 16 55.541 1 PUR AMR 1 PUR AMR
HG01167 HG01086 16 52.57 1 PUR AMR 2 PUR AMR
HG01168 HG00732 15 44.183 2 PUR AMR 2 PUR AMR
HG01170 HG01083 37 132.112 1 PUR AMR 2 PUR AMR
HG01171 HG01191 16 55.45 2 PUR AMR 2 PUR AMR
HG01173 HG01070 15 53.383 1 PUR AMR 2 PUR AMR
HG01174 HG00742 15 51.65 2 PUR AMR 1 PUR AMR
HG01176 HG01286 17 58.035 1 PUR AMR 1 PUR AMR
HG01177 HG01247 18 59.247 2 PUR AMR 1 PUR AMR
HG01182 HG01197 15 42.267 1 PUR AMR 1 PUR AMR
HG01183 HG01067 19 76.056 2 PUR AMR 2 PUR AMR
HG01187 HG01098 17 49.72 1 PUR AMR 2 PUR AMR
HG01188 HG01101 20 74.225 2 PUR AMR 1 PUR AMR
HG01190 HG01098 18 68.321 1 PUR AMR 2 PUR AMR
HG01191 HG01097 15 59.296 2 PUR AMR 1 PUR AMR
HG01197 HG01073 28 80.281 1 PUR AMR 2 PUR AMR
HG01198 HG01055 15 51.563 2 PUR AMR 2 PUR AMR
